DF,VC
Built-in storage,Sufficient storage
Built-in storage,Sufficient space
Window size,Aesthetic appeal
Number of occupants,Sufficient space
Number of occupants,Accessibility and circulation
Dedicated utility room,Auditory comfort
Placement of washing machine,Auditory comfort
Placement of tumble dryer,Auditory comfort
Size of the house,Sufficient space
Size of the house,Sufficient storage
Separate living areas,Sufficient space
Open plan,Sufficient space
Room size,Sufficient space
Occupant type,Accessibility and circulation
Occupant type,Sufficient space
Layout,Sufficient space
MMC,Buildability
Door swing direction,Accessibility and circulation
Level access,Accessibility and circulation
Number of rooms,Sufficient space
Size of rooms,Sufficient space
Size of the house,Sufficient space
Regularity of room shape,Sufficient space
Regularity of room shape,Accessibility and circulation
Symmetry and proportion,Sufficient space
Symmetry and proportion,Accessibility and circulation
Space around furniture,Sufficient space
Space around furniture,Accessibility and circulation
Space standards,Sufficient space
Symmetry and proportion,Sufficient space
Low VOC paint,Air quality
Low VOC carpets,Air quality
Low VOC furniture,Air quality
Airtightness,Air quality
Natural ventilation,Air quality
4-6% daylight factor,Natural light
Orientation,Natural light
Window size,Natural light
Occupant type,Flexibility and adaptability
Occupant type,Lifetime home
Design life,Flexibility and adaptability
Design life,Lifetime home
Design for flexibility,Flexibility and adaptability
Design for flexibility,Lifetime home
Window size,Natural light
House depth / Plot aspect ratio,Natural light
Natural light in the stair well,Natural light
Airtightness,Indoor Air Quality (IAQ)
Airtightness,Indoor Air Quality (IAQ)
Ventilation,Indoor Air Quality (IAQ)
Ventilation,Auditory comfort
Loft accessibility,Sufficient space
Loft space,Sufficient space
Loft space,Space usability/utilisation
Loft space,Flexibility and adaptability
Garden space,Flexibility and adaptability
Garage,Flexibility and adaptability
Windows overlooking garden,Connectedness to nature
"Garden space
(front/back)",Connectedness to nature
VOC emitting materials,Indoor Air Quality (IAQ)
VOC emitting materials,"Quality of design, build and materials"
Insulation,Energy affordability
Airtightness,Energy affordability
Control over opening windows,Energy affordability
Ventilation,Energy affordability
Insulation,Thermal comfort
Airtightness,Thermal comfort
Control over opening windows,Thermal comfort
Ventilation,Thermal comfort
Environment friendly insulation material,"Quality of design, build and materials"
Design life,"Quality of design, build and materials"
Light level,IEQ
Colour of light,IEQ
Light level,Circadian rhythm
Colour of light,Circadian rhythm
Insulation,Auditory comfort
Living room facing garden,Connectedness to nature
Narrow plots,Housing density
Layout,Flexibility and adaptability
Kitchen in the middle,Flexibility and adaptability
Kitchen in the front,Cleanliness
Design quality standard (DQS),Space efficiency
Housing Quality Inventory (HQI),Space efficiency
Regularity of room shape,Space efficiency
Occupant type,User customisability
Occupant type,Sufficient space
Layout,Sufficient space
Space configurability,Sufficient space
M&E systems,Usability
Passive house,Usability
M&E systems,Energy affordability
Passive house,Energy affordability
Storage under stairs,Sufficient storage
Growing storage requirements,Sufficient storage
Walk-in shower,Lifetime home
Ventilation,Indoor air quality (AIQ)
Natural ventilation,Indoor air quality (AIQ)
Mechanical ventilation,Indoor air quality (AIQ)
Passive house,Indoor air quality (AIQ)
Occupant type,Cultural considerations of occupants
Open plan,Cultural considerations of occupants
Layout,Cultural considerations of occupants
Lifestyle,Cultural considerations of occupants
Occupant awareness,Environmental protection
Space standards,Sufficient space
Open plan,Flexibility and adaptability
Kitchen in the front,Security
Living room at the back,Security
Study space,Auditory comfort
Recreational space,Auditory comfort
Open plan,Indoor Air quality (AIQ)
Separate living space,Indoor Air quality (AIQ)
Kitchen and dining together,Indoor Air quality (AIQ)
Storage under stairs,Sufficient storage
Number of occupants,Sufficient storage
Space standards,Sufficient storage
Utility closet,Sufficient space
Dedicated utility room,Sufficient space
Modular design,Maintainability
High specifications,Quality of design build and materials
High specifications,Low running cost
Fabric first approach,Low running cost
Natural ventilation,Low running cost
Mechanical ventilation,Low running cost
Airtightness,Low running cost
Heatpumps,Low running cost
Occupant awareness,Low running cost
Occupant type,Flexibility and adaptability
Break sound transfer path,Auditory comfort
Insulation,Auditory comfort
Staggered sockets in adjacent properties,Auditory comfort
Placement of TV,Auditory comfort
Underfloor heating system,Thermal comfort
Gas central heating system,Thermal comfort
Number of sockets,Convenience
Kitchen work surface,Sufficient space
Occupant type,Sufficient space
Number of bathrooms,Sufficient space
Number of occupants,Sufficient space
Kitchen separate from living room,Air quality
Kitchen separate from living room,Auditory comfort
Cupboard space,Sufficient storage
Windows,Natural light
Bathroom window,Natural light
Transition space,Convenience
Occupant type,Cultural considerations of occupants
Kitchen size,Cultural considerations of occupants
Living room size,Cultural considerations of occupants
Lifestyle,Cultural considerations of occupants
Insulation,Energy affordability
Number of occupants,Space affordability
Bedroom tax,Space affordability
Insulation,Thermal comfort
Window size,Connectedness to nature
Window size,Natural light
Property size,Natural light
Property size,Sufficient space
Light outside colours,Aesthetic appeal
Design life,Sufficient space
Property size,Sufficient space
Handrail,Flexibility and adaptability
Open plan,Sufficient space
Open plan,Natural light
Dedicated storage,Sufficient storage
Number of rooms,Space affordability
Number of occupants,Space affordability
Room size,Equality
Ceiling height,Sufficient space
Occupant type,LIfetime home
Number of occupants,LIfetime home
Number of rooms,LIfetime home
Occupant type,Flexibility and adaptability
